[2021-12-16 16:47:51.965] [info] Resources files: /home/francois/.config/waybar/config, /home/francois/.config/waybar/style.css
[2021-12-16 16:47:51.976] [warning] module backlight: Disabling module "backlight", No backlight found
[2021-12-16 16:47:51.976] [warning] module battery: Disabling module "battery", No batteries.
[2021-12-16 16:47:51.977] [warning] For a functional tray you must have libappindicator-* installed and export XDG_CURRENT_DESKTOP=Unity

** (waybar:42847): WARNING **: 16:47:51.985: gtk-layer-shell v0.6.0 may not work on GTK v3.24.30. If you experience crashes, check https://github.com/wmww/gtk-layer-shell/blob/master/compatibility.md
[2021-12-16 16:47:52.011] [info] Bar configured (width: 1920, height: 35) for output: VGA-1
[2021-12-16 16:47:52.974] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:48:02.975] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:48:12.976] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:48:22.978] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:48:32.980] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:48:42.981] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:48:52.983] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:49:02.985] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:49:12.986] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:49:22.987] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:49:32.988] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:49:42.990] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:49:52.992] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:50:02.995] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:50:12.997] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:50:22.999] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:50:33.001] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:50:43.003] [error] mpd: Failed to connect to MPD: Connection refused
